Year,Month,Category,Region,Units_Sold,Revenue,Profit,Customer_Rating,Ad_Spend
2022,April,Fashion,South,420,63490.26,8274.62,3.0,961.66
2020,January,Fashion,East,421,39599.55,5905.22,4.4,2103.38
2023,December,Fashion,North,265,43609.79,8319.62,1.5,4146.26
2020,October,Electronics,West,37,625.52,83.91,2.6,4174.51
2021,October,Electronics,North,387,7040.77,1664.22,3.5,608.21
2020,November,Fashion,West,81,7841.19,1738.62,1.4,906.96
2022,June,Beauty Products,West,97,14578.32,3172.97,1.8,3809.8
2021,October,Fashion,South,336,54530.5,12839.98,2.9,3454.15
2020,May,Beauty Products,South,64,6571.81,1596.85,3.6,1916.04
2024,January,Home Decor,North,428,81517.22,20121.12,3.4,2191.54
2022,August,Electronics,North,152,20809.28,3507.87,3.7,4051.54
2020,April,Books,South,283,39724.7,4358.82,3.1,4363.62
2022,December,Groceries,East,299,32630.73,5586.14,4.1,165.61
2024,December,Books,East,485,38890.48,10832.32,3.6,577.16
2020,February,Electronics,East,306,25748.17,6294.16,2.8,1637.66
2022,June,Home Decor,South,62,5332.87,801.9,4.6,101.94
2022,June,Beauty Products,North,21,3882.67,901.26,2.3,1837.48
2023,March,Groceries,South,135,2192.17,472.37,1.4,2606.04
2024,September,Groceries,North,460,30945.48,7062.09,2.8,1929.15
2024,November,Books,East,393,7594.73,1297.1,4.4,3746.18
2024,October,Beauty Products,West,72,12721.8,3339.04,1.4,459.61
2022,November,Beauty Products,East,431,13236.05,3784.32,1.8,4517.45
2023,March,Electronics,East,280,10429.1,1125.48,3.5,2576.99
2024,August,Fashion,North,92,7651.96,1581.77,2.7,4676.78
2020,January,Books,West,269,13987.85,2167.47,4.7,2076.47
2022,March,Fashion,South,423,9231.44,2332.55,3.4,3492.02
2022,September,Groceries,West,70,7929.62,1206.58,1.7,2620.08
2021,October,Fashion,East,306,10043.83,2178.17,1.0,315.54
2021,September,Beauty Products,North,170,12871.18,3384.76,3.9,4299.64
2022,October,Fashion,North,427,69962.19,15091.52,2.3,1979.06
2023,February,Books,West,428,32956.19,8836.15,3.4,4113.42
2020,October,Books,South,366,33102.44,5062.01,1.6,2015.03
2022,September,Fashion,East,446,53406.67,13182.02,1.2,1326.67
2021,May,Beauty Products,North,156,4737.41,481.33,3.3,1754.53
2020,December,Groceries,West,43,4082.66,554.85,1.2,1123.05
2023,September,Groceries,East,440,80566.3,21957.04,2.7,4710.95
2022,June,Home Decor,West,361,55655.74,7788.59,2.7,1485.83
2021,September,Home Decor,North,123,11033.97,2111.19,2.7,1720.94
2021,April,Groceries,West,399,30992.38,5705.04,1.6,4130.48
2022,December,Beauty Products,North,400,27472.47,7673.68,3.0,3281.71
2022,January,Home Decor,South,393,25781.47,5912.85,3.8,2792.43
2021,May,Books,North,486,28596.0,4440.49,1.6,4652.88
2021,March,Groceries,South,52,901.83,105.14,4.6,3970.8
2022,October,Groceries,South,342,56653.36,13439.46,3.6,2520.84
2023,February,Groceries,North,251,23449.52,6837.52,2.7,3190.05
2020,January,Home Decor,North,138,26033.04,5069.6,3.5,4342.9
2020,August,Books,West,284,38762.65,4839.38,4.5,4512.28
2022,August,Groceries,West,33,3379.7,881.85,2.7,4321.18
2024,January,Electronics,South,168,18777.25,3496.06,1.5,207.46
2023,August,Home Decor,South,271,18503.74,2919.17,3.4,730.95
2024,July,Beauty Products,West,319,51504.32,8758.21,4.5,845.88
2024,November,Groceries,North,302,22981.15,6661.17,3.6,3400.2
2020,September,Groceries,East,90,9217.85,982.75,4.3,712.71
2022,December,Home Decor,North,466,15066.87,3578.93,2.7,2537.08
2022,September,Groceries,East,257,46549.87,11304.81,4.8,1683.07
2020,February,Home Decor,East,490,51206.04,7587.49,3.8,2258.9
2020,April,Fashion,West,370,9115.11,1566.93,4.2,4674.55
2024,October,Groceries,East,310,44227.91,11377.05,4.8,355.65
2021,January,Books,West,32,3177.44,620.29,4.5,314.64
2020,November,Fashion,West,466,56625.9,9380.29,1.8,4845.53
2021,June,Beauty Products,South,360,39821.77,7970.9,2.9,872.81
2021,August,Books,North,341,53681.51,14855.03,2.3,4312.31
2021,April,Fashion,South,54,9545.88,1777.68,1.3,3453.56
2022,August,Beauty Products,South,315,18724.49,3647.98,4.3,3679.59
2022,January,Beauty Products,South,409,8501.21,2516.91,2.8,1864.41
2024,March,Fashion,West,365,30710.34,8986.98,2.6,680.57
2021,March,Books,East,250,42017.24,8460.39,1.6,1046.67
2021,December,Fashion,West,340,43826.72,8400.83,3.2,1391.58
2024,September,Electronics,South,188,7455.1,1099.75,2.3,2183.36
2022,October,Home Decor,South,395,6528.4,1352.12,1.1,4504.13
2021,June,Beauty Products,North,390,71107.37,21283.7,3.0,2110.91
2021,November,Fashion,East,436,19771.12,2543.62,4.1,1649.95
2022,August,Electronics,East,320,5332.7,1088.43,4.3,472.19
2024,August,Electronics,East,41,3453.9,791.43,1.7,2198.16
2020,January,Beauty Products,East,80,4633.99,766.94,1.1,3403.18
2020,May,Beauty Products,North,381,54462.65,11634.8,4.3,4874.28
2022,March,Home Decor,North,227,12612.56,3349.15,2.2,1572.9
2022,October,Beauty Products,North,267,15630.66,2889.55,3.2,4799.24
2020,September,Fashion,West,434,60412.45,16666.25,3.2,1380.33
2024,May,Beauty Products,North,459,74035.48,21204.88,3.6,499.23
2024,May,Groceries,South,440,72831.61,7477.61,2.5,2506.74
2022,November,Electronics,South,406,7582.96,1034.8,2.7,3774.24
2024,March,Fashion,South,421,5697.33,1205.29,4.7,3822.04
2024,June,Fashion,North,99,10021.7,1439.49,4.3,3000.08
2023,January,Groceries,South,261,8181.18,1679.65,1.3,2839.8
2020,July,Groceries,West,118,22844.75,5323.99,3.1,2956.37
2021,May,Fashion,South,26,3107.02,562.51,5.0,2627.9
2020,August,Fashion,South,460,90736.1,18608.67,1.7,2237.97
2022,September,Beauty Products,North,154,30516.2,8106.62,3.3,4902.95
2022,November,Groceries,East,431,76752.79,22116.11,1.3,1487.12
2022,July,Fashion,North,395,70094.59,8610.23,4.0,2653.51
2024,December,Electronics,South,371,41048.25,11647.84,4.4,727.22
2024,October,Fashion,South,210,41321.11,9164.7,1.9,1880.18
2020,June,Beauty Products,South,410,58123.96,16959.74,4.1,4356.33
2022,August,Home Decor,North,125,18163.41,2333.84,4.2,513.27
2024,May,Home Decor,East,241,35495.73,5402.55,1.3,3992.82
2024,December,Groceries,North,272,45449.03,12741.28,2.8,3362.32
2024,April,Groceries,East,482,74936.21,10710.41,4.4,567.49
2020,October,Beauty Products,East,168,32055.71,3448.87,4.0,741.06
2020,May,Fashion,North,300,34105.74,3681.46,5.0,3603.99
2021,November,Books,West,444,84299.59,20785.88,3.3,2016.56
2022,August,Beauty Products,East,384,57182.55,9165.78,2.6,3262.45
2021,December,Books,East,318,59120.99,8212.46,4.3,2678.58
2022,January,Fashion,East,24,3621.37,404.06,4.6,4298.18
2022,October,Groceries,South,394,69632.05,20312.85,2.1,4181.24
2023,September,Home Decor,South,134,16656.07,2293.77,1.3,2617.31
2022,September,Electronics,East,27,2504.74,676.27,2.2,622.51
2020,June,Groceries,South,494,70113.73,12936.17,4.3,3986.72
2023,October,Electronics,East,313,6748.25,1970.26,1.6,2135.03
2023,November,Electronics,South,250,16588.96,3098.69,2.1,4303.16
2021,March,Groceries,West,327,10036.47,1553.96,4.9,967.52
2023,November,Groceries,North,245,17939.1,1903.3,1.5,3185.54
2021,February,Beauty Products,North,101,17522.96,4949.05,2.1,557.61
2024,July,Books,South,28,5268.15,1407.29,4.8,4132.19
2023,February,Electronics,South,343,50777.72,9076.8,2.4,3187.56
2020,December,Electronics,North,457,40670.35,10783.06,4.8,3354.39
2022,June,Books,West,126,5847.34,970.55,2.2,2327.7
2024,February,Groceries,South,102,4125.47,440.1,2.2,3049.61
2020,January,Electronics,East,372,25203.1,7288.0,5.0,2333.16
2022,November,Electronics,West,369,35225.13,4785.78,4.3,124.51
2021,September,Electronics,West,443,33496.1,7923.96,4.2,4944.91
2024,November,Beauty Products,North,68,4926.38,596.46,4.3,539.37
2024,June,Electronics,South,228,14942.11,1858.44,1.8,3501.92
2023,July,Books,West,159,1886.87,455.36,2.0,1558.11
2022,November,Beauty Products,North,108,15967.34,3029.62,2.9,554.18
2022,November,Home Decor,South,98,3242.22,694.58,3.4,402.82
2021,December,Fashion,North,417,49392.83,9020.68,4.6,1224.09
2021,July,Fashion,South,108,7705.57,1363.5,4.3,2203.22
2022,January,Home Decor,East,417,65019.15,10796.45,4.6,4071.25
2021,August,Fashion,North,485,20243.93,2899.22,1.9,2331.97
2021,February,Books,West,214,26566.23,6297.69,3.7,4777.43
2021,July,Groceries,South,443,16152.38,4833.7,3.8,1451.12
2022,November,Electronics,South,369,21566.67,5730.96,1.6,1028.73
2023,December,Fashion,North,20,2785.02,808.38,1.1,2259.05
2022,October,Home Decor,North,348,63127.66,16988.49,4.8,447.92
2020,July,Home Decor,North,108,11259.48,2601.17,4.1,4290.79
2020,January,Electronics,South,65,3199.28,381.0,1.3,4025.14
2020,July,Electronics,North,83,12762.99,2690.82,4.2,1280.07
2020,February,Home Decor,North,74,7773.0,1358.27,4.5,2189.7
2020,April,Books,North,171,25010.63,5107.55,2.0,4212.87
2021,June,Beauty Products,South,155,13505.03,2694.64,3.7,1839.02
2021,March,Books,North,434,31240.61,6076.5,2.7,4111.41
2022,May,Electronics,North,421,44523.07,9726.05,3.6,314.73
2023,January,Groceries,North,95,7429.54,1046.33,1.4,1995.96
2022,December,Home Decor,South,95,6164.74,842.36,1.9,4369.36
2020,July,Electronics,South,299,19527.23,4641.13,3.7,4318.18
2022,April,Fashion,East,53,6423.35,1164.78,4.7,2935.52
2022,November,Fashion,North,172,17779.71,4611.86,4.6,1294.74
2022,April,Groceries,East,472,47434.11,5432.72,2.8,2789.27
2020,July,Home Decor,West,89,9877.23,1382.17,1.5,980.77
2024,July,Fashion,South,108,9728.9,1694.28,4.4,2429.8
2020,February,Electronics,West,486,11173.94,1468.95,1.1,1652.28
2022,November,Electronics,East,178,1890.11,216.51,3.8,4478.17
2020,September,Fashion,West,400,16950.68,4137.03,1.7,4922.15
2021,March,Electronics,West,328,18927.01,4700.15,2.8,305.93
2022,August,Fashion,South,22,1934.82,351.43,2.2,368.96
2023,July,Fashion,West,65,10338.33,1586.35,2.9,2818.83
2020,October,Fashion,East,196,38116.26,6187.22,4.9,1310.77
2024,April,Books,East,58,6812.14,1818.85,1.4,4300.6
2023,January,Fashion,West,338,30122.8,6563.97,4.5,3697.27
2020,February,Beauty Products,South,110,17681.63,3933.04,3.0,2253.55
2022,April,Electronics,East,312,25962.69,5411.37,1.3,1703.8
2021,April,Groceries,South,50,4205.87,623.02,4.3,4738.19
2023,November,Electronics,West,364,67096.48,10460.12,1.5,2914.39
2023,June,Beauty Products,East,309,10091.12,2784.43,3.7,3639.3
2020,February,Beauty Products,West,201,3793.58,546.42,3.0,4712.41
2020,June,Home Decor,South,62,3454.91,1011.84,4.5,1087.63
2023,December,Books,West,97,12406.51,2147.85,3.3,2075.1
2024,October,Fashion,East,247,49214.23,7825.03,4.9,4665.7
2022,September,Fashion,South,289,35191.97,8418.8,1.1,4424.29
2020,November,Beauty Products,West,72,1407.7,391.35,1.1,2306.91
2022,November,Beauty Products,South,343,43329.91,12580.69,4.6,3652.42
2021,May,Home Decor,West,271,37658.62,4503.85,1.8,2935.66
2023,February,Beauty Products,South,165,24106.25,3766.0,4.3,947.81
2022,December,Fashion,North,111,1324.62,355.96,1.2,2769.93
2022,February,Beauty Products,West,290,42916.78,9528.93,3.5,1229.68
2022,November,Groceries,East,496,93804.23,21819.73,1.7,2081.59
2023,June,Electronics,West,377,11445.89,1623.19,2.8,1402.24
2022,January,Electronics,North,285,15871.22,1722.51,4.6,3798.85
2020,June,Groceries,South,397,60687.58,8207.63,4.8,4034.37
2020,November,Home Decor,East,402,11089.93,2280.09,5.0,3687.73
2021,September,Home Decor,North,293,54821.28,12610.26,4.4,3443.13
2024,December,Home Decor,West,226,13724.82,1617.18,4.1,4419.21
2023,June,Electronics,North,115,9056.53,1823.91,1.3,1547.68
2021,October,Home Decor,South,137,1833.26,327.9,2.4,3049.51
2021,October,Home Decor,East,248,3552.05,1035.27,4.4,1653.35
2022,January,Books,East,428,66418.67,16983.22,3.7,1035.7
2024,February,Books,North,157,14321.58,1715.51,1.5,4145.62
2022,June,Home Decor,East,202,23684.77,2722.72,1.3,3341.24
2022,January,Home Decor,East,322,25797.95,4104.73,1.1,1425.28
2022,November,Books,North,194,13006.97,2793.67,3.5,3492.02
2024,June,Groceries,West,305,15948.78,1626.15,4.2,2656.96
2024,August,Fashion,South,231,14526.47,3160.64,3.6,1181.24
2021,March,Fashion,West,279,42059.54,8153.43,1.2,2080.54
2023,March,Fashion,North,29,1761.44,245.09,4.9,2559.31
2020,January,Home Decor,West,234,17168.96,4096.52,2.9,3718.93
2024,April,Groceries,East,253,19135.96,5692.4,3.5,3409.56
2022,February,Groceries,South,420,48435.02,6982.15,4.4,3687.99
2021,January,Fashion,East,356,7079.39,1675.08,3.7,4885.97
2022,October,Beauty Products,South,364,5062.31,831.8,1.4,2807.74
2021,February,Groceries,North,335,44657.94,11724.22,4.7,2345.14
2020,May,Beauty Products,North,351,59907.07,14289.9,1.9,3438.59
2024,October,Home Decor,North,230,38134.87,5912.18,2.1,1355.76
2023,November,Home Decor,South,426,61634.26,8575.53,2.6,4126.18
2020,August,Groceries,West,204,2735.6,768.63,1.8,132.37
2021,September,Fashion,West,100,6134.04,1649.62,1.1,2845.98
2022,June,Groceries,East,459,90104.78,24737.19,4.5,806.27
2021,November,Fashion,East,76,6233.2,1084.61,4.2,4574.99
2022,May,Fashion,West,447,87267.17,13521.83,1.5,3414.57
2023,December,Groceries,West,454,57538.59,7170.68,4.1,3056.0
2020,June,Home Decor,North,90,8403.66,909.58,3.2,2360.35
2020,April,Electronics,North,55,6832.4,916.12,3.8,1449.14
2020,February,Books,East,347,51179.17,14199.04,1.2,4195.65
2022,August,Fashion,East,342,46953.33,8841.13,3.6,261.2
2021,November,Groceries,East,392,74335.74,15138.75,1.3,2747.95
2021,September,Home Decor,East,23,3222.35,960.67,4.8,4025.88
2024,May,Books,East,345,60974.05,13701.32,4.4,2159.19
2024,April,Groceries,North,327,37561.06,9690.52,2.5,648.03
2024,April,Electronics,East,413,17673.38,2475.13,1.7,1848.26
2020,March,Fashion,South,169,10060.05,2131.4,1.8,1148.81
2024,June,Books,South,311,32325.25,5786.03,1.9,1052.87
2021,July,Books,West,111,5072.88,1036.86,2.6,1750.74
2024,October,Home Decor,East,190,12534.31,3043.56,3.2,4690.65
2020,September,Fashion,East,43,4579.45,842.12,1.9,3108.61
2021,February,Home Decor,North,485,75732.35,9644.23,4.0,1732.03
2024,June,Home Decor,West,438,87421.79,25675.5,1.6,894.74
2022,September,Electronics,West,131,3005.79,492.74,3.9,1969.97
2023,January,Home Decor,South,384,21133.27,2623.97,3.1,3958.06
2020,April,Electronics,North,102,11064.72,1609.88,2.6,2007.64
2024,May,Books,South,213,18830.83,4481.21,3.2,4988.67
2021,November,Electronics,North,83,4883.63,1077.04,1.6,3396.82
2021,February,Beauty Products,North,108,16038.79,2374.86,1.6,258.1
2020,October,Fashion,South,467,51639.41,6624.28,3.6,1904.7
2021,April,Home Decor,East,188,24104.89,5067.0,2.7,742.93
2023,September,Groceries,North,240,9695.58,2762.18,4.6,2324.19
2022,July,Fashion,West,332,7450.11,778.4,2.4,1167.74
2023,August,Electronics,South,320,18081.41,2098.51,1.6,405.0
2020,September,Electronics,North,93,4239.56,922.71,2.8,4472.34
2021,January,Beauty Products,East,216,39994.64,9768.85,1.3,4974.49
2021,July,Home Decor,South,273,41464.22,10618.44,1.7,1851.41
2021,September,Books,East,378,64689.06,12990.69,3.6,4423.36
2020,April,Beauty Products,East,362,14527.54,1949.7,3.7,2911.01
2022,June,Groceries,East,133,4630.66,1247.62,4.7,2461.6
2020,March,Books,North,269,20400.73,4326.11,3.2,4328.98
2023,August,Beauty Products,South,133,24664.57,6861.58,4.4,718.56
2023,December,Beauty Products,East,241,22319.61,2830.42,2.8,4665.06
2024,February,Groceries,South,256,23939.21,6205.85,3.6,4011.7
2021,May,Home Decor,South,51,5811.02,1049.29,1.2,3613.91
2023,September,Groceries,South,292,6362.69,945.56,3.9,1546.24
2024,September,Beauty Products,South,251,25076.61,6064.84,3.7,4246.39
2024,July,Books,North,166,29599.69,8224.77,2.5,1382.33
2024,December,Books,North,33,2165.19,529.0,3.5,2306.36
2022,August,Books,East,172,22752.34,4970.92,2.1,2024.15
2024,August,Home Decor,West,340,8152.14,2312.05,2.8,3141.41
2021,November,Fashion,East,121,12381.69,3615.63,3.2,3555.56
2020,September,Books,West,273,29228.71,3329.3,3.2,2983.04
2023,May,Electronics,North,85,3581.89,673.47,3.8,3442.4
2022,February,Groceries,West,367,46231.47,9874.57,1.6,3512.37
2023,March,Groceries,North,478,88423.45,22523.74,4.1,2183.58
2022,December,Electronics,West,49,3561.99,544.11,2.2,4473.27
2024,February,Books,West,61,10324.52,2405.55,4.3,4675.1
2024,May,Electronics,West,413,63910.47,10614.94,3.6,4700.19
2022,November,Home Decor,East,354,49811.53,10453.42,3.9,633.38
2024,January,Beauty Products,South,42,8030.39,1635.0,2.2,4061.78
2021,July,Home Decor,North,242,31185.91,8857.52,4.1,802.39
2020,October,Electronics,South,197,22238.02,3879.73,3.3,947.71
2020,April,Fashion,North,156,23627.87,6594.39,1.4,4655.14
2020,September,Home Decor,South,108,9506.47,1419.2,3.0,4600.93
2024,April,Beauty Products,South,294,49704.91,5676.79,1.1,815.59
2020,May,Books,West,491,70714.27,7196.09,1.4,2192.77
2023,December,Electronics,East,401,20075.67,5742.59,3.5,4903.25
2023,October,Fashion,East,235,29606.79,3936.2,4.8,1352.06
2024,August,Groceries,West,88,16054.55,4495.17,2.9,4972.58
2023,August,Electronics,North,43,6179.07,679.29,3.2,4640.8
2024,July,Fashion,East,37,1449.91,393.07,4.3,325.86
2022,June,Home Decor,North,360,56442.15,13921.3,3.2,2962.82
2024,August,Electronics,North,353,13134.41,1421.74,3.6,4903.56
2024,March,Groceries,South,221,10707.97,2290.04,1.3,3489.81
2021,August,Beauty Products,West,208,20067.23,3458.26,1.2,3295.38
2021,June,Beauty Products,South,102,1405.67,192.51,3.5,4865.54
2022,November,Books,West,356,47341.09,12978.78,3.3,2460.87
2024,June,Fashion,South,286,11709.68,3107.77,3.5,534.09
2022,March,Electronics,West,268,7863.79,2060.9,4.4,806.6
2020,June,Electronics,North,308,32700.76,7376.25,4.3,1183.85
2022,May,Books,South,337,38453.71,8382.71,2.9,4856.98
2021,November,Beauty Products,West,450,33386.51,9539.55,2.5,437.09
2021,October,Electronics,West,93,16144.79,1770.28,4.0,2435.77
2023,October,Books,West,33,4966.81,861.58,3.0,2696.09
2024,January,Electronics,East,132,22644.52,3108.93,2.2,4064.83
2023,December,Groceries,East,115,21845.01,2828.33,2.3,3169.41
2022,February,Electronics,West,168,13849.12,1622.02,2.6,797.77
2022,July,Beauty Products,North,49,7008.75,1331.55,3.1,1628.71
2022,July,Fashion,West,102,5316.2,616.83,4.6,751.53
2022,May,Home Decor,North,70,774.54,191.72,4.4,2515.36
2024,July,Home Decor,East,348,56284.23,6190.79,4.9,1368.93
2024,January,Home Decor,West,219,29687.37,6000.99,3.6,4196.37
2021,April,Beauty Products,East,380,8662.16,1506.4,3.7,3534.58
2021,August,Home Decor,East,167,2476.46,348.33,1.2,2578.98
2022,December,Books,South,357,25369.59,5721.36,1.3,279.07
2024,November,Beauty Products,East,211,4512.93,544.83,3.1,1425.29
2022,October,Groceries,East,235,41450.29,10669.47,4.3,1553.82
2023,November,Electronics,East,390,43895.96,6220.81,2.3,4291.31
2022,January,Electronics,East,283,11731.88,2480.61,1.0,4102.2
2020,August,Electronics,West,195,13278.83,1449.26,1.5,969.67
2023,August,Fashion,North,310,39653.14,7946.4,3.4,3297.08
2020,August,Beauty Products,West,146,12313.91,2460.67,2.6,1170.97
2022,July,Groceries,North,460,64936.69,10837.54,1.2,2721.85
2021,May,Electronics,North,164,30511.69,3272.55,3.0,3656.43
2023,July,Beauty Products,South,193,28486.0,7981.39,4.3,4410.81
2022,September,Beauty Products,East,180,17511.19,3998.85,3.8,2545.32
2022,June,Beauty Products,West,106,17886.76,3696.48,1.8,2194.54
2020,July,Home Decor,East,153,29236.69,7565.95,1.4,240.94
2022,May,Electronics,East,254,41260.36,7483.37,3.0,536.31
2024,April,Electronics,South,193,34662.53,5472.78,1.9,3157.78
2022,August,Fashion,South,48,5790.54,1303.47,1.3,2091.02
2022,March,Fashion,North,291,7891.95,1932.73,2.4,2108.29
2022,February,Home Decor,West,213,40782.7,12026.61,4.5,158.79
2020,September,Electronics,North,418,61059.02,9987.31,2.6,4936.0
2024,November,Home Decor,South,275,32414.99,5214.85,4.2,3693.82
2022,June,Beauty Products,West,169,31809.01,3410.97,1.8,657.68
2023,March,Books,East,437,44833.96,7343.07,3.1,3096.11
2024,August,Electronics,West,439,37496.99,6683.69,3.0,366.48
2021,January,Beauty Products,North,355,32333.68,3887.93,3.1,2099.08
2021,July,Books,East,315,56938.31,14306.79,1.2,1712.52
2021,October,Groceries,East,332,62216.39,15898.72,1.0,4904.92
2023,November,Home Decor,South,356,34105.54,8308.07,1.4,306.16
2023,July,Beauty Products,South,343,61712.94,17771.94,2.7,1239.23
2021,July,Electronics,North,340,60803.47,11390.9,4.3,516.26
2020,February,Books,North,99,12041.09,2853.01,3.7,4295.7
2022,August,Books,West,37,5349.01,1127.05,3.6,3590.66
2022,September,Beauty Products,South,262,5065.06,532.56,1.2,4086.2
2022,June,Electronics,West,152,26213.39,5955.14,2.7,4744.67
2023,July,Fashion,East,197,13515.59,3746.42,3.1,3235.84
2022,April,Books,North,241,18782.32,3507.0,1.2,3341.46
2020,April,Electronics,North,213,15983.68,2407.1,4.4,3003.93
2020,May,Beauty Products,South,428,52294.51,5801.58,3.3,3904.37
2021,August,Groceries,North,300,7966.02,1259.58,2.1,4450.92
2020,January,Electronics,West,438,30470.06,4476.4,2.7,4132.49
2021,December,Home Decor,South,214,20411.29,2438.99,1.2,787.56
2020,August,Groceries,West,419,76319.07,15623.63,3.5,3681.55
2022,July,Electronics,South,65,1740.01,353.61,3.3,3875.57
2023,September,Groceries,North,78,4360.3,1064.38,3.0,936.42
2022,January,Beauty Products,East,168,11035.52,2722.15,5.0,491.47
2022,May,Electronics,East,370,56989.68,9337.61,2.8,637.33
2021,February,Groceries,East,293,51834.88,14700.89,1.9,4072.74
2021,May,Home Decor,South,393,36146.72,3805.79,3.8,4137.15
2023,December,Home Decor,North,469,54613.15,6098.87,3.4,1775.21
2024,July,Books,East,96,17089.68,3638.93,1.3,1156.21
2020,January,Books,East,329,50397.26,12180.98,2.3,3399.33
2023,July,Electronics,South,429,9778.3,2672.14,2.7,4714.6
2021,February,Home Decor,South,400,64228.16,11979.74,4.9,4090.33
2021,June,Electronics,North,317,53180.8,9550.09,2.6,2356.83
2022,April,Groceries,South,21,3288.57,800.63,4.2,4022.89
2022,July,Beauty Products,East,446,82490.98,17575.59,3.6,4923.51
2024,June,Beauty Products,East,92,9670.95,2110.69,1.1,1785.29
2024,June,Books,East,262,33466.91,4789.18,3.0,3288.93
2024,April,Fashion,North,453,27755.64,2898.9,3.2,904.1
2020,August,Beauty Products,North,145,26022.33,3861.98,3.3,1821.89
2021,August,Books,North,191,12743.92,1721.82,3.6,1674.71
2021,December,Home Decor,South,125,22334.57,3035.71,4.5,3961.51
2021,June,Home Decor,North,361,48076.57,9254.51,3.6,4969.66
2021,July,Electronics,East,496,25984.9,4261.13,2.5,3074.59
2024,May,Groceries,West,60,7828.12,1714.68,4.8,2541.82
2020,July,Beauty Products,East,446,4550.97,1239.05,3.6,1835.49
2022,September,Home Decor,West,394,14209.67,3479.74,2.1,771.24
2022,February,Home Decor,West,252,48030.67,11247.02,3.8,1220.26
2021,April,Beauty Products,West,218,7252.83,1008.4,3.5,3487.03
2024,July,Books,South,129,1608.24,185.42,4.3,698.9
2024,May,Beauty Products,East,92,10918.42,1570.42,3.1,1978.56
2021,March,Fashion,South,154,28916.98,8465.7,1.6,3536.1
2020,April,Groceries,South,74,2580.58,754.77,3.0,4554.54
2024,June,Fashion,West,297,52841.29,14087.16,4.2,4794.49
2023,September,Fashion,West,97,3855.28,681.04,4.9,4270.48
2020,October,Electronics,East,52,9813.84,1913.33,3.1,3673.24
2023,February,Books,South,271,11505.55,1408.93,1.2,1379.97
2024,October,Groceries,East,188,21268.9,5307.22,3.7,3092.2
2023,August,Beauty Products,West,210,19278.1,3705.12,1.9,692.37
2022,November,Books,North,410,46679.24,7928.49,1.8,2091.18
2024,July,Groceries,East,391,50386.39,9999.2,4.5,3667.27
2023,December,Electronics,North,96,10590.46,2416.87,2.5,4942.55
2021,November,Beauty Products,West,401,16217.29,3358.91,4.7,1246.94
2021,December,Groceries,West,362,28328.93,4164.05,4.8,3528.23
2024,May,Home Decor,North,490,35863.24,5926.33,3.7,713.99
2023,December,Books,North,36,6483.42,648.93,2.8,3816.29
2023,January,Beauty Products,North,258,21059.27,4555.25,2.3,3407.54
2023,June,Electronics,East,136,26529.4,2770.35,2.2,1220.66
2020,May,Electronics,South,173,25053.24,7459.2,1.5,4866.75
2020,February,Beauty Products,North,469,60876.57,7362.59,3.5,4196.22
2020,May,Electronics,North,162,6005.5,1094.69,4.2,4286.76
2023,May,Fashion,South,163,13121.99,3065.15,3.3,1494.11
2023,April,Beauty Products,North,321,54593.21,7592.34,4.8,2634.09
2020,December,Home Decor,North,374,30616.72,8824.66,3.1,3549.82
2022,December,Fashion,North,430,45246.68,10280.44,3.7,1808.45
2021,January,Electronics,North,195,8651.62,1623.11,2.9,452.76
2020,July,Books,North,33,3479.38,408.29,2.6,1267.27
2020,July,Beauty Products,East,253,50063.23,6554.54,4.2,304.98
2023,January,Books,South,380,12967.23,2356.32,3.7,4871.74
2021,June,Fashion,West,203,25544.88,6402.57,3.3,1536.81
2020,September,Electronics,North,196,33750.86,3660.06,3.7,4406.87
2024,May,Electronics,South,325,54883.79,13812.83,4.4,2697.15
2022,October,Home Decor,North,186,24258.29,6102.97,1.6,3615.32
2023,February,Fashion,East,400,77177.43,15420.06,3.8,892.11
2024,March,Electronics,West,263,22382.93,2512.24,2.9,3061.47
2022,January,Books,East,277,28964.31,8186.07,4.5,3549.27
2023,July,Home Decor,West,443,18022.99,4509.52,5.0,4151.99
2022,May,Fashion,South,335,44958.66,6972.5,4.2,4281.0
2022,November,Books,South,134,8881.87,1549.79,4.2,1714.7
2021,September,Fashion,North,297,9628.41,1398.95,4.2,4095.93
2024,August,Home Decor,South,429,53183.14,7886.92,4.4,4918.71
2022,January,Beauty Products,South,48,6769.08,1800.49,1.3,4268.82
2024,February,Beauty Products,West,158,12677.25,2819.04,1.4,893.21
2022,February,Fashion,South,108,8442.52,2459.52,2.1,1481.24
2020,December,Electronics,East,391,42162.26,12376.62,2.4,2233.48
2021,May,Home Decor,North,333,16010.5,4698.19,2.6,311.19
2023,December,Fashion,East,88,2857.7,767.73,2.3,4371.84
2020,March,Groceries,West,383,59658.9,6926.92,3.0,3069.13
2022,November,Books,East,60,9522.8,1855.16,3.2,2381.34
2023,August,Home Decor,North,375,50092.45,14751.27,4.5,3869.11
2022,July,Groceries,North,450,46073.21,12165.79,1.3,3386.41
2020,April,Beauty Products,North,154,3987.19,909.18,3.3,3735.77
2024,March,Groceries,East,148,16162.39,2308.54,3.0,736.58
2022,July,Electronics,West,53,541.78,150.76,2.2,2042.1
2024,April,Books,West,28,3510.87,443.18,3.7,4626.17
2020,November,Groceries,North,27,3853.1,924.88,1.2,3127.84
